,protocol,parameter,condition,ICC,good
221,Antisaccade_vertical_SW,saccades_count_HV_s,SD,0.39794875903928206,
222,Antisaccade_vertical_SW,saccades_percentage_HV_%,WR,0.6841929812893695,
223,Antisaccade_vertical_SW,saccades_percentage_HV_%,SD,0.3179174599119413,
224,Antisaccade_vertical_SW,saccades_frequency_HV_Hz,WR,0.810832138136828,
225,Antisaccade_vertical_SW,saccades_frequency_HV_Hz,SD,0.3100516919341934,
226,Antisaccade_vertical_SW,saccades_duration_HV_s,WR,0.5740452113132845,
227,Antisaccade_vertical_SW,saccades_duration_HV_s,SD,0.5085322341642114,
228,Antisaccade_vertical_SW,pso_count_HV_s,WR,0.5108836099791273,
229,Antisaccade_vertical_SW,pso_count_HV_s,SD,0.41082836570305314,
230,Antisaccade_vertical_SW,pso_percentage_HV_%,WR,0.7191366434552925,
231,Antisaccade_vertical_SW,pso_percentage_HV_%,SD,0.3164681596353816,
232,Antisaccade_vertical_SW,saccade+pso_frequency_HV_Hz,WR,0.779083303461795,
233,Antisaccade_vertical_SW,saccade+pso_frequency_HV_Hz,SD,0.37286543833726166,
234,Antisaccade_vertical_SW,pso_duration_HV_s,WR,0.5919149380128372,
235,Antisaccade_vertical_SW,pso_duration_HV_s,SD,0.34604252070968167,
236,Antisaccade_vertical_SW,excluded_percentage_HV_%,WR,0.3655158949895953,
237,Antisaccade_vertical_SW,excluded_percentage_HV_%,SD,0.909597820612221,
238,Antisaccade_vertical_SW,valid_data_percentage_HV_%,WR,0.5373895471672062,
239,Antisaccade_vertical_SW,valid_data_percentage_HV_%,SD,0.8572588073616536,
240,Antisaccade_horizontal_SW,measurement_duration_HV_s,WR,-0.16455563697253534,
241,Antisaccade_horizontal_SW,measurement_duration_HV_s,SD,0.0513188023283399,
242,Antisaccade_horizontal_SW,trajectory_length_HV_deg,WR,0.9024460752034718,*
243,Antisaccade_horizontal_SW,trajectory_length_HV_deg,SD,0.8779714179241688,*
244,Antisaccade_horizontal_SW,trajectory_length_H_deg,WR,0.9028549622715882,*
245,Antisaccade_horizontal_SW,trajectory_length_H_deg,SD,0.889560818630654,*
246,Antisaccade_horizontal_SW,trajectory_length_V_deg,WR,0.7973546153767841,
247,Antisaccade_horizontal_SW,trajectory_length_V_deg,SD,0.33946163995048145,
248,Antisaccade_horizontal_SW,BCEA68_HV_deg^2,WR,0.5390038507829955,
249,Antisaccade_horizontal_SW,BCEA68_HV_deg^2,SD,0.5981323248355634,
250,Antisaccade_horizontal_SW,BCEA68_A_deg,WR,0.3275250478061199,
251,Antisaccade_horizontal_SW,BCEA68_A_deg,SD,0.6431397139856806,
252,Antisaccade_horizontal_SW,BCEA95_HV_deg^2,WR,0.5390038507829958,
253,Antisaccade_horizontal_SW,BCEA95_HV_deg^2,SD,0.5981323248355632,
254,Antisaccade_horizontal_SW,BCEA98_HV_deg^2,WR,0.5390038507829958,
255,Antisaccade_horizontal_SW,BCEA98_HV_deg^2,SD,0.5981323248355629,
256,Antisaccade_horizontal_SW,P2_HV_%,WR,0.84363419108269,*
257,Antisaccade_horizontal_SW,P2_HV_%,SD,0.9073984419607082,*
258,Antisaccade_horizontal_SW,P4_HV_%,WR,0.6330794404221364,*
259,Antisaccade_horizontal_SW,P4_HV_%,SD,0.9319887718134862,*
260,Antisaccade_horizontal_SW,fixation_stability_H_%,WR,0.8013757289612247,*
261,Antisaccade_horizontal_SW,fixation_stability_H_%,SD,0.8128328102810459,*
262,Antisaccade_horizontal_SW,fixation_stability_V_%,WR,0.6821137013997404,
263,Antisaccade_horizontal_SW,fixation_stability_V_%,SD,0.3216992882356554,
264,Antisaccade_horizontal_SW,blinks_count_HV_%,WR,0.6189536031589339,*
265,Antisaccade_horizontal_SW,blinks_count_HV_%,SD,0.791516894320633,*
266,Antisaccade_horizontal_SW,blinks_percentage_HV_%,WR,0.6971553449780286,*
267,Antisaccade_horizontal_SW,blinks_percentage_HV_%,SD,0.8446299535385975,*
268,Antisaccade_horizontal_SW,blinks_frequency_HV_Hz,WR,0.6189968070580398,*
269,Antisaccade_horizontal_SW,blinks_frequency_HV_Hz,SD,0.791551709598457,*
270,Antisaccade_horizontal_SW,blinks_duration_HV_s,WR,0.6971563202008891,*
271,Antisaccade_horizontal_SW,blinks_duration_HV_s,SD,0.8446657086315887,*
272,Antisaccade_horizontal_SW,drifts_count_HV_s,WR,0.9327803345006046,*
273,Antisaccade_horizontal_SW,drifts_count_HV_s,SD,0.8611111111111108,*
274,Antisaccade_horizontal_SW,drifts_percentage_HV_%,WR,0.8104002913991415,
275,Antisaccade_horizontal_SW,drifts_percentage_HV_%,SD,0.4177294026712917,
276,Antisaccade_horizontal_SW,drifts_frequency_HV_Hz,WR,0.8886720620115308,*
277,Antisaccade_horizontal_SW,drifts_frequency_HV_Hz,SD,0.8879061069075375,*
278,Antisaccade_horizontal_SW,drifts_duration_HV_s,WR,0.6260842738338602,*
279,Antisaccade_horizontal_SW,drifts_duration_HV_s,SD,0.8796652782070185,*
280,Antisaccade_horizontal_SW,saccades_count_HV_s,WR,0.8749323142488734,*
281,Antisaccade_horizontal_SW,saccades_count_HV_s,SD,0.6674430641821946,*
282,Antisaccade_horizontal_SW,saccades_percentage_HV_%,WR,0.9204482255576776,*
283,Antisaccade_horizontal_SW,saccades_percentage_HV_%,SD,0.6331091223493781,*
284,Antisaccade_horizontal_SW,saccades_frequency_HV_Hz,WR,0.9391769026906533,*
285,Antisaccade_horizontal_SW,saccades_frequency_HV_Hz,SD,0.7028366221634316,*
286,Antisaccade_horizontal_SW,saccades_duration_HV_s,WR,0.9066126765146812,*
287,Antisaccade_horizontal_SW,saccades_duration_HV_s,SD,0.6282425842184134,*
288,Antisaccade_horizontal_SW,pso_count_HV_s,WR,0.8496760078302468,*
289,Antisaccade_horizontal_SW,pso_count_HV_s,SD,0.7225280775159654,*
290,Antisaccade_horizontal_SW,pso_percentage_HV_%,WR,0.6630382154307191,*
291,Antisaccade_horizontal_SW,pso_percentage_HV_%,SD,0.714304527643229,*
292,Antisaccade_horizontal_SW,saccade+pso_frequency_HV_Hz,WR,0.7842072959544212,*
293,Antisaccade_horizontal_SW,saccade+pso_frequency_HV_Hz,SD,0.6659775192618506,*
294,Antisaccade_horizontal_SW,pso_duration_HV_s,WR,0.7348302575712087,*
295,Antisaccade_horizontal_SW,pso_duration_HV_s,SD,0.7549073818576022,*
296,Antisaccade_horizontal_SW,excluded_percentage_HV_%,WR,0.29867783944841664,
297,Antisaccade_horizontal_SW,excluded_percentage_HV_%,SD,0.8278203940660777,
298,Antisaccade_horizontal_SW,valid_data_percentage_HV_%,WR,0.507793210726853,
299,Antisaccade_horizontal_SW,valid_data_percentage_HV_%,SD,0.9462070487516729,
